token	modality	description	chapter
DC40	diag	Malignant neoplasm of bone and articular cartilage of limbs	Neoplasms
DC41	diag	Malignant neoplasm of bone and articular cartilage of other and unspecified sites	Neoplasms
DC43	diag	Malignant melanoma of skin	Neoplasms
DC44	diag	Other malignant neoplasms of skin	Neoplasms
DC47	diag	Malignant neoplasm of peripheral nerves and autonomic nervous system	Neoplasms
DC48	diag	Malignant neoplasm of retroperitoneum and peritoneum	Neoplasms
DC49	diag	Malignant neoplasm of other connective and soft tissue	Neoplasms
DC50	diag	Malignant neoplasm of breast	Neoplasms
DC53	diag	Malignant neoplasm of cervix uteri	Neoplasms
DC56	diag	Malignant neoplasm of ovary	Neoplasms
DC62	diag	Malignant neoplasm of testis	Neoplasms
DC64	diag	Malignant neoplasm of kidney, except renal pelvis	Neoplasms
DC67	diag	Malignant neoplasm of bladder	Neoplasms
DC69	diag	Malignant neoplasm of eye and adnexa	Neoplasms
DC71	diag	Malignant neoplasm of brain	Neoplasms
DC72	diag	Malignant neoplasm of spinal cord, cranial nerves and other parts of central nervous system	Neoplasms
DC73	diag	Malignant neoplasm of thyroid gland	Neoplasms
DC74	diag	Malignant neoplasm of adrenal gland	Neoplasms
DC75	diag	Malignant neoplasm of other endocrine glands and related structures	Neoplasms
DC76	diag	Malignant neoplasm of other and ill-defined sites	Neoplasms
DC77	diag	Secondary and unspecified malignant neoplasm of lymph nodes	Neoplasms
DC78	diag	Secondary malignant neoplasm of respiratory and digestive organs	Neoplasms
DC79	diag	Secondary malignant neoplasm of other sites	Neoplasms
DC80	diag	Malignant neoplasm without specification of site	Neoplasms
DC81	diag	Hodgkin's disease	Neoplasms
DC82	diag	Follicular [nodular] non-Hodgkin's lymphoma	Neoplasms
DC83	diag	Diffuse non-Hodgkin's lymphoma	Neoplasms
DC84	diag	Peripheral and cutaneous T-cell lymphomas	Neoplasms
DC85	diag	Other and unspecified types of non-Hodgkin's lymphoma	Neoplasms
DC90	diag	Multiple myeloma and malignant plasma cell neoplasms	Neoplasms
DC91	diag	Lymphoid leukaemia	Neoplasms
DC92	diag	Myeloid leukaemia	Neoplasms
DC95	diag	Leukaemia of unspecified cell type	Neoplasms
DC96	diag	Other and unspecified malignant neoplasms of lymphoid, haematopoietic and related tissue	Neoplasms
DD03	diag	Melanoma in situ	Neoplasms
DD05	diag	Carcinoma in situ of breast	Neoplasms
DD06	diag	Carcinoma in situ of cervix uteri	Neoplasms
DD07	diag	Carcinoma in situ of other and unspecified genital organs	Neoplasms
DD10	diag	Benign neoplasm of mouth and pharynx	Neoplasms
DD11	diag	Benign neoplasm of major salivary glands	Neoplasms
DD12	diag	Benign neoplasm of colon, rectum, anus and anal canal	Neoplasms
DD13	diag	Benign neoplasm of other and ill-defined parts of digestive system	Neoplasms
DD14	diag	Benign neoplasm of middle ear and respiratory system	Neoplasms
DD16	diag	Benign neoplasm of bone and articular cartilage	Neoplasms
DD17	diag	Benign lipomatous neoplasm	Neoplasms
DD18	diag	Haemangioma and lymphangioma, any site	Neoplasms
DD21	diag	Other benign neoplasms of connective and other soft tissue	Neoplasms
DD22	diag	Melanocytic naevi	Neoplasms
DD23	diag	Other benign neoplasms of skin	Neoplasms
DD24	diag	Benign neoplasm of breast	Neoplasms
DD25	diag	Leiomyoma of uterus	Neoplasms
DD27	diag	Benign neoplasm of ovary	Neoplasms
DD28	diag	Benign neoplasm of other and unspecified female genital organs	Neoplasms
DD29	diag	Benign neoplasm of male genital organs	Neoplasms
DD30	diag	Benign neoplasm of urinary organs	Neoplasms
DD31	diag	Benign neoplasm of eye and adnexa	Neoplasms
DD32	diag	Benign neoplasm of meninges	Neoplasms
DD33	diag	Benign neoplasm of brain and other parts of central nervous system	Neoplasms
DD34	diag	Benign neoplasm of thyroid gland	Neoplasms
DD35	diag	Benign neoplasm of other and unspecified endocrine glands	Neoplasms
DD36	diag	Benign neoplasm of other and unspecified sites	Neoplasms
DD39	diag	Neoplasm of uncertain or unknown behaviour of female genital organs	Neoplasms
DD43	diag	Neoplasm of uncertain or unknown behaviour of brain and central nervous system	Neoplasms
DD44	diag	Neoplasm of uncertain or unknown behaviour of endocrine glands	Neoplasms
DD46	diag	Myelodysplastic syndromes	Neoplasms
DD47	diag	Other neoplasms of uncertain or unknown behaviour of lymphoid, haematopoietic and related tissue	Neoplasms
DD48	diag	Neoplasm of uncertain or unknown behaviour of other and unspecified sites	Neoplasms
DD50	diag	Iron deficiency anaemia	Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism
DD51	diag	Vitamin B12 deficiency anaemia	Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism
DD55	diag	Anaemia due to enzyme disorders	Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism
DD56	diag	Thalassaemia	Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism
DD57	diag	Sickle-cell disorders	Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism
DD58	diag	Other hereditary haemolytic anaemias	Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism
DD59	diag	Acquired haemolytic anaemia	Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism
DD61	diag	Other aplastic anaemias	Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism
DD62	diag	Acute posthaemorrhagic anaemia	Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism
DD63	diag	Anaemia in chronic diseases classified elsewhere	Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism
DD64	diag	Other anaemias	Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism
DD66	diag	Hereditary factor VIII deficiency	Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism
DD67	diag	Hereditary factor IX deficiency	Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism
DD68	diag	Other coagulation defects	Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism
DD69	diag	Purpura and other haemorrhagic conditions	Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism
DD70	diag	Agranulocytosis	Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism
DD72	diag	Other disorders of white blood cells	Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism
DD73	diag	Diseases of spleen	Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism
DD75	diag	Other diseases of blood and blood-forming organs	Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism
DD76	diag	Certain diseases involving lymphoreticular tissue and reticulohistiocytic system	Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism
DD80	diag	Immunodeficiency with predominantly antibody defects	Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism
DD81	diag	Combined immunodeficiencies	Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism
DD82	diag	Immunodeficiency associated with other major defects	Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism
DD83	diag	Common variable immunodeficiency	Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism
DD84	diag	Other immunodeficiencies	Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism
DD86	diag	Sarcoidosis	Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism
DD89	diag	Other disorders involving the immune mechanism, not elsewhere classified	Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism
DE03	diag	Other hypothyroidism	Endocrine, nutritional and metabolic diseases
DE04	diag	Other nontoxic goitre	Endocrine, nutritional and metabolic diseases
DE05	diag	Thyrotoxicosis [hyperthyroidism]	Endocrine, nutritional and metabolic diseases
DE06	diag	Thyroiditis	Endocrine, nutritional and metabolic diseases
DE07	diag	Other disorders of thyroid	Endocrine, nutritional and metabolic diseases
DE10	diag	Insulin-dependent diabetes mellitus	Endocrine, nutritional and metabolic diseases
DE11	diag	Non-insulin-dependent diabetes mellitus	Endocrine, nutritional and metabolic diseases
DE13	diag	Other specified diabetes mellitus	Endocrine, nutritional and metabolic diseases
DE14	diag	Unspecified diabetes mellitus	Endocrine, nutritional and metabolic diseases
DE16	diag	Other disorders of pancreatic internal secretion	Endocrine, nutritional and metabolic diseases
DE20	diag	Hypoparathyroidism	Endocrine, nutritional and metabolic diseases
DE21	diag	Hyperparathyroidism and other disorders of parathyroid gland	Endocrine, nutritional and metabolic diseases
DE22	diag	Hyperfunction of pituitary gland	Endocrine, nutritional and metabolic diseases
DE23	diag	Hypofunction and other disorders of pituitary gland	Endocrine, nutritional and metabolic diseases
DE24	diag	Cushing's syndrome	Endocrine, nutritional and metabolic diseases
DE25	diag	Adrenogenital disorders	Endocrine, nutritional and metabolic diseases
DE27	diag	Other disorders of adrenal gland	Endocrine, nutritional and metabolic diseases
DE28	diag	Ovarian dysfunction	Endocrine, nutritional and metabolic diseases
DE29	diag	Testicular dysfunction	Endocrine, nutritional and metabolic diseases
DE30	diag	Disorders of puberty, not elsewhere classified	Endocrine, nutritional and metabolic diseases
DE34	diag	Other endocrine disorders	Endocrine, nutritional and metabolic diseases
DE47	diag	Other malnutrition	Endocrine, nutritional and metabolic diseases
DE53	diag	Deficiency of other B group vitamins	Endocrine, nutritional and metabolic diseases
DE55	diag	Vitamin D deficiency	Endocrine, nutritional and metabolic diseases
DE61	diag	Deficiency of other nutrient elements	Endocrine, nutritional and metabolic diseases
DE64	diag	Sequelae of malnutrition and other nutritional deficiencies	Endocrine, nutritional and metabolic diseases
DE65	diag	Localized adiposity	Endocrine, nutritional and metabolic diseases
DE66	diag	Obesity	Endocrine, nutritional and metabolic diseases
DE68	diag	Sequelae of hyperalimentation	Endocrine, nutritional and metabolic diseases
DE70	diag	Disorders of aromatic amino-acid metabolism	Endocrine, nutritional and metabolic diseases
DE71	diag	Disorders of branched-chain amino-acid metabolism and fatty-acid metabolism	Endocrine, nutritional and metabolic diseases
DE72	diag	Other disorders of amino-acid metabolism	Endocrine, nutritional and metabolic diseases
DE73	diag	Lactose intolerance	Endocrine, nutritional and metabolic diseases
DE74	diag	Other disorders of carbohydrate metabolism	Endocrine, nutritional and metabolic diseases
DE75	diag	Disorders of sphingolipid metabolism and other lipid storage disorders	Endocrine, nutritional and metabolic diseases
DE76	diag	Disorders of glycosaminoglycan metabolism	Endocrine, nutritional and metabolic diseases
DE77	diag	Disorders of glycoprotein metabolism	Endocrine, nutritional and metabolic diseases
DE78	diag	Disorders of lipoprotein metabolism and other lipidaemias	Endocrine, nutritional and metabolic diseases
DE80	diag	Disorders of porphyrin and bilirubin metabolism	Endocrine, nutritional and metabolic diseases
DE83	diag	Disorders of mineral metabolism	Endocrine, nutritional and metabolic diseases
DE84	diag	Cystic fibrosis	Endocrine, nutritional and metabolic diseases
DE85	diag	Amyloidosis	Endocrine, nutritional and metabolic diseases
DE86	diag	Volume depletion	Endocrine, nutritional and metabolic diseases
DE87	diag	Other disorders of fluid, electrolyte and acid-base balance	Endocrine, nutritional and metabolic diseases
DE88	diag	Other metabolic disorders	Endocrine, nutritional and metabolic diseases
DE89	diag	Postprocedural endocrine and metabolic disorders, not elsewhere classified	Endocrine, nutritional and metabolic diseases
DF05	diag	Delirium, not induced by alcohol and other psychoactive substances	Mental and behavioural disorders
DF06	diag	Other mental disorders due to brain damage and dysfunction and to physical disease	Mental and behavioural disorders
DF07	diag	Personality and behavioural disorders due to brain disease, damage and dysfunction	Mental and behavioural disorders
DF09	diag	Unspecified organic or symptomatic mental disorder	Mental and behavioural disorders
DF10	diag	Mental and behavioural disorders due to use of alcohol	Mental and behavioural disorders
DF11	diag	Mental and behavioural disorders due to use of opioids	Mental and behavioural disorders
DF12	diag	Mental and behavioural disorders due to use of cannabinoids	Mental and behavioural disorders
DF13	diag	Mental and behavioural disorders due to use of sedatives or hypnotics	Mental and behavioural disorders
DF14	diag	Mental and behavioural disorders due to use of cocaine	Mental and behavioural disorders
DF15	diag	Mental and behavioural disorders due to use of other stimulants, including caffeine	Mental and behavioural disorders
DF16	diag	Mental and behavioural disorders due to use of hallucinogens	Mental and behavioural disorders
DF17	diag	Mental and behavioural disorders due to use of tobacco	Mental and behavioural disorders
DF18	diag	Mental and behavioural disorders due to use of volatile solvents	Mental and behavioural disorders
DF19	diag	Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances	Mental and behavioural disorders
DF20	diag	Schizophrenia	Mental and behavioural disorders
DF21	diag	Schizotypal disorder	Mental and behavioural disorders
DF22	diag	Persistent delusional disorders	Mental and behavioural disorders
DF23	diag	Acute and transient psychotic disorders	Mental and behavioural disorders
DF25	diag	Schizoaffective disorders	Mental and behavioural disorders
DF28	diag	Other nonorganic psychotic disorders	Mental and behavioural disorders
DF29	diag	Unspecified nonorganic psychosis	Mental and behavioural disorders
DF30	diag	Manic episode	Mental and behavioural disorders
DF31	diag	Bipolar affective disorder	Mental and behavioural disorders
DF32	diag	Depressive episode	Mental and behavioural disorders
DF33	diag	Recurrent depressive disorder	Mental and behavioural disorders
DF34	diag	Persistent mood [affective] disorders	Mental and behavioural disorders
DF38	diag	Other mood [affective] disorders	Mental and behavioural disorders
DF39	diag	Unspecified mood [affective] disorder	Mental and behavioural disorders
DF40	diag	Phobic anxiety disorders	Mental and behavioural disorders
DF41	diag	Other anxiety disorders	Mental and behavioural disorders
DF42	diag	Obsessive-compulsive disorder	Mental and behavioural disorders
DF43	diag	Reaction to severe stress, and adjustment disorders	Mental and behavioural disorders
DF44	diag	Dissociative [conversion] disorders	Mental and behavioural disorders
DF45	diag	Somatoform disorders	Mental and behavioural disorders
DF48	diag	Other neurotic disorders	Mental and behavioural disorders
DF50	diag	Eating disorders	Mental and behavioural disorders
DF51	diag	Nonorganic sleep disorders	Mental and behavioural disorders
DF52	diag	Sexual dysfunction, not caused by organic disorder or disease	Mental and behavioural disorders
DF53	diag	Mental and behavioural disorders associated with the puerperium, not elsewhere classified	Mental and behavioural disorders
DF55	diag	Abuse of non-dependence-producing substances	Mental and behavioural disorders
DF60	diag	Specific personality disorders	Mental and behavioural disorders
DF61	diag	Mixed and other personality disorders	Mental and behavioural disorders
DF62	diag	Enduring personality changes, not attributable to brain damage and disease	Mental and behavioural disorders
DF63	diag	Habit and impulse disorders	Mental and behavioural disorders
DF64	diag	Gender identity disorders	Mental and behavioural disorders
DF65	diag	Disorders of sexual preference	Mental and behavioural disorders
DF68	diag	Other disorders of adult personality and behaviour	Mental and behavioural disorders
DF69	diag	Unspecified disorder of adult personality and behaviour	Mental and behavioural disorders
DF70	diag	Mild mental retardation	Mental and behavioural disorders
DF71	diag	Moderate mental retardation	Mental and behavioural disorders
DF72	diag	Severe mental retardation	Mental and behavioural disorders
DF73	diag	Profound mental retardation	Mental and behavioural disorders
DF78	diag	Other mental retardation	Mental and behavioural disorders
DF79	diag	Unspecified mental retardation	Mental and behavioural disorders
DF80	diag	Specific developmental disorders of speech and language	Mental and behavioural disorders
DF81	diag	Specific developmental disorders of scholastic skills	Mental and behavioural disorders
DF82	diag	Specific developmental disorder of motor function	Mental and behavioural disorders
DF83	diag	Mixed specific developmental disorders	Mental and behavioural disorders
DF84	diag	Pervasive developmental disorders	Mental and behavioural disorders
DF88	diag	Other disorders of psychological development	Mental and behavioural disorders
DF89	diag	Unspecified disorder of psychological development	Mental and behavioural disorders
DF90	diag	Hyperkinetic disorders	Mental and behavioural disorders
DF91	diag	Conduct disorders	Mental and behavioural disorders
DF92	diag	Mixed disorders of conduct and emotions	Mental and behavioural disorders
DF93	diag	Emotional disorders with onset specific to childhood	Mental and behavioural disorders
DF94	diag	Disorders of social functioning with onset specific to childhood and adolescence	Mental and behavioural disorders
DF95	diag	Tic disorders	Mental and behavioural disorders
DF98	diag	Other behavioural and emotional disorders with onset usually occurring in childhood and adolescence	Mental and behavioural disorders
DF99	diag	Mental disorder, not otherwise specified	Mental and behavioural disorders
DG00	diag	Bacterial meningitis, not elsewhere classified	Diseases of the nervous system
DG03	diag	Meningitis due to other and unspecified causes	Diseases of the nervous system
DG04	diag	Encephalitis, myelitis and encephalomyelitis	Diseases of the nervous system
DG06	diag	Intracranial and intraspinal abscess and granuloma	Diseases of the nervous system
DG11	diag	Hereditary ataxia	Diseases of the nervous system
DG12	diag	Spinal muscular atrophy and related syndromes	Diseases of the nervous system
DG24	diag	Dystonia	Diseases of the nervous system
DG25	diag	Other extrapyramidal and movement disorders	Diseases of the nervous system
DG31	diag	Other degenerative diseases of nervous system, not elsewhere classified	Diseases of the nervous system
DG35	diag	Multiple sclerosis	Diseases of the nervous system
DG37	diag	Other demyelinating diseases of central nervous system	Diseases of the nervous system
DG40	diag	Epilepsy	Diseases of the nervous system
DG41	diag	Status epilepticus	Diseases of the nervous system
DG43	diag	Migraine	Diseases of the nervous system
DG44	diag	Other headache syndromes	Diseases of the nervous system
DG45	diag	Transient cerebral ischaemic attacks and related syndromes	Diseases of the nervous system
DG47	diag	Sleep disorders	Diseases of the nervous system
DG50	diag	Disorders of trigeminal nerve	Diseases of the nervous system
DG51	diag	Facial nerve disorders	Diseases of the nervous system
DG54	diag	Nerve root and plexus disorders	Diseases of the nervous system
DG55	diag	Nerve root and plexus compressions in diseases classified elsewhere	Diseases of the nervous system
DG56	diag	Mononeuropathies of upper limb	Diseases of the nervous system
DG57	diag	Mononeuropathies of lower limb	Diseases of the nervous system
DG58	diag	Other mononeuropathies	Diseases of the nervous system
DG60	diag	Hereditary and idiopathic neuropathy	Diseases of the nervous system
DG61	diag	Inflammatory polyneuropathy	Diseases of the nervous system
DG62	diag	Other polyneuropathies	Diseases of the nervous system
DG64	diag	Other disorders of peripheral nervous system	Diseases of the nervous system
DG70	diag	Myasthenia gravis and other myoneural disorders	Diseases of the nervous system
DG71	diag	Primary disorders of muscles	Diseases of the nervous system
DG72	diag	Other myopathies	Diseases of the nervous system
DG80	diag	Cerebral palsy	Diseases of the nervous system
DG81	diag	Hemiplegia	Diseases of the nervous system
DG82	diag	Paraplegia and tetraplegia	Diseases of the nervous system
DG83	diag	Other paralytic syndromes	Diseases of the nervous system
DG90	diag	Disorders of autonomic nervous system	Diseases of the nervous system
DG91	diag	Hydrocephalus	Diseases of the nervous system
DG93	diag	Other disorders of brain	Diseases of the nervous system
DG94	diag	Other disorders of brain in diseases classified elsewhere	Diseases of the nervous system
DG95	diag	Other diseases of spinal cord	Diseases of the nervous system
DG96	diag	Other disorders of central nervous system	Diseases of the nervous system
DG97	diag	Postprocedural disorders of nervous system, not elsewhere classified	Diseases of the nervous system
DG98	diag	Other disorders of nervous system, not elsewhere classified	Diseases of the nervous system
DG99	diag	Other disorders of nervous system in diseases classified elsewhere	Diseases of the nervous system
DH00	diag	Hordeolum and chalazion	Diseases of the eye and adnexa
DH01	diag	Other inflammation of eyelid	Diseases of the eye and adnexa
DH02	diag	Other disorders of eyelid	Diseases of the eye and adnexa
DH04	diag	Disorders of lacrimal system	Diseases of the eye and adnexa
DH05	diag	Disorders of orbit	Diseases of the eye and adnexa
DH06	diag	Disorders of lacrimal system and orbit in diseases classified elsewhere	Diseases of the eye and adnexa
DH10	diag	Conjunctivitis	Diseases of the eye and adnexa
DH11	diag	Other disorders of conjunctiva	Diseases of the eye and adnexa
DH15	diag	Disorders of sclera	Diseases of the eye and adnexa
DH16	diag	Keratitis	Diseases of the eye and adnexa
DH17	diag	Corneal scars and opacities	Diseases of the eye and adnexa
DH18	diag	Other disorders of cornea	Diseases of the eye and adnexa
DH19	diag	Disorders of sclera and cornea in diseases classified elsewhere	Diseases of the eye and adnexa
DH20	diag	Iridocyclitis	Diseases of the eye and adnexa
DH21	diag	Other disorders of iris and ciliary body	Diseases of the eye and adnexa
DH25	diag	Senile cataract	Diseases of the eye and adnexa
DH26	diag	Other cataract	Diseases of the eye and adnexa
DH27	diag	Other disorders of lens	Diseases of the eye and adnexa
DH30	diag	Chorioretinal inflammation	Diseases of the eye and adnexa
DH33	diag	Retinal detachments and breaks	Diseases of the eye and adnexa
DH34	diag	Retinal vascular occlusions	Diseases of the eye and adnexa
DH35	diag	Other retinal disorders	Diseases of the eye and adnexa
DH36	diag	Retinal disorders in diseases classified elsewhere	Diseases of the eye and adnexa
DH40	diag	Glaucoma	Diseases of the eye and adnexa
DH43	diag	Disorders of vitreous body	Diseases of the eye and adnexa
DH44	diag	Disorders of globe	Diseases of the eye and adnexa
DH46	diag	Optic neuritis	Diseases of the eye and adnexa
DH47	diag	Other disorders of optic [2nd] nerve and visual pathways	Diseases of the eye and adnexa
DH48	diag	Disorders of optic [2nd] nerve and visual pathways in diseases classified elsewhere	Diseases of the eye and adnexa
DH49	diag	Paralytic strabismus	Diseases of the eye and adnexa
DH50	diag	Other strabismus	Diseases of the eye and adnexa
DH51	diag	Other disorders of binocular movement	Diseases of the eye and adnexa
DH52	diag	Disorders of refraction and accommodation	Diseases of the eye and adnexa
DH53	diag	Visual disturbances	Diseases of the eye and adnexa
DH54	diag	Blindness and low vision	Diseases of the eye and adnexa
DH55	diag	Nystagmus and other irregular eye movements	Diseases of the eye and adnexa
DH57	diag	Other disorders of eye and adnexa	Diseases of the eye and adnexa
DH60	diag	Otitis externa	Diseases of the ear and mastoid process
DH61	diag	Other disorders of external ear	Diseases of the ear and mastoid process
DH65	diag	Nonsuppurative otitis media	Diseases of the ear and mastoid process
DH66	diag	Suppurative and unspecified otitis media	Diseases of the ear and mastoid process
DH68	diag	Eustachian salpingitis and obstruction	Diseases of the ear and mastoid process
DH70	diag	Mastoiditis and related conditions	Diseases of the ear and mastoid process
DH71	diag	Cholesteatoma of middle ear	Diseases of the ear and mastoid process
DH72	diag	Perforation of tympanic membrane	Diseases of the ear and mastoid process
DH73	diag	Other disorders of tympanic membrane	Diseases of the ear and mastoid process
DH74	diag	Other disorders of middle ear and mastoid	Diseases of the ear and mastoid process
DH80	diag	Otosclerosis	Diseases of the ear and mastoid process
DH81	diag	Disorders of vestibular function	Diseases of the ear and mastoid process
DH83	diag	Other diseases of inner ear	Diseases of the ear and mastoid process
DH90	diag	Conductive and sensorineural hearing loss	Diseases of the ear and mastoid process
DH91	diag	Other hearing loss	Diseases of the ear and mastoid process
DH92	diag	Otalgia and effusion of ear	Diseases of the ear and mastoid process
DH93	diag	Other disorders of ear, not elsewhere classified	Diseases of the ear and mastoid process
DH94	diag	Other disorders of ear in diseases classified elsewhere	Diseases of the ear and mastoid process
DI10	diag	Essential (primary) hypertension	Diseases of the circulatory system
DI12	diag	Hypertensive renal disease	Diseases of the circulatory system
DI15	diag	Secondary hypertension	Diseases of the circulatory system
DI20	diag	Angina pectoris	Diseases of the circulatory system
DI21	diag	Acute myocardial infarction	Diseases of the circulatory system
DI25	diag	Chronic ischaemic heart disease	Diseases of the circulatory system
DI26	diag	Pulmonary embolism	Diseases of the circulatory system
DI27	diag	Other pulmonary heart diseases	Diseases of the circulatory system
DI30	diag	Acute pericarditis	Diseases of the circulatory system
DI31	diag	Other diseases of pericardium	Diseases of the circulatory system
DI33	diag	Acute and subacute endocarditis	Diseases of the circulatory system
